"date","deu","aut"
"1970-01-01",0.637747944820298,0.741343011005899
"1970-04-01",0.925763145707002,0.839045536306401
"1970-07-01",-0.205725143490405,0.4146138311188
"1970-10-01",-0.0617175430471946,-0.052525227796
"1971-01-01",0.905190631357996,1.0488605657814
"1971-04-01",-0.288015200886598,0.0223849772227993
"1971-07-01",-0.123435086094304,0.1202298836998
"1971-10-01",-0.596602916122301,0.366224866874603
"1972-01-01",1.5223660618293,0.517378502016697
"1972-04-01",0.390877772631796,0.5404655489967
"1972-07-01",0.205725143490504,0.6268596379524
"1972-10-01",1.4812210331312,2.2008668767162
"1973-01-01",1.7075186909706,-1.571312719392
"1973-04-01",0.226297657839496,0.830468592122202
"1973-07-01",-0.205725143490497,0.461423180071399
"1973-10-01",0.473167830028103,0.490816507338501
"1974-01-01",-0.308587715235703,0.927718266076599
"1974-04-01",0.0411450286980966,0.214964775309099
"1974-07-01",-1.1726333178955,-0.1103523647622
"1974-10-01",-1.6869461766216,-1.1061868584634
"1975-01-01",-1.5635110905274,-0.5748587415485
"1975-04-01",-0.555457887424197,-0.985212925206
"1975-07-01",-0.123435086094204,-0.0940294249527014
"1975-10-01",2.0572514349044,0.646906341121301
"1976-01-01",1.5635110905273,0.56177904418
"1976-04-01",1.0286257174522,0.5336011838891
"1976-07-01",-0.185152629141399,0.812743826810202
"1976-10-01",1.0080532031032,0.620707923744696
"1977-01-01",0.452595315678899,0.111283095458703
"1977-04-01",-0.2674426865375,0.203316964458601
"1977-07-01",-0.308587715235703,-0.0790033141104018
"1977-10-01",1.0286257174522,0.2113043881659
"1978-01-01",-0.555457887424197,0.0574375457433973
"1978-04-01",-0.370305258282805,0.440750784368802
"1978-07-01",1.9338163488102,0.435629807469297
"1978-10-01",0.720038002216498,0.539890348176705
"1979-01-01",-0.267442686537599,0.571069778085999
"1979-04-01",1.7692362340178,0.730498153212302
"1979-07-01",0.5143128587261,1.234815835498
"1979-10-01",0.452595315678998,0.4514792278231
"1980-01-01",0.534885373075198,0.2223454350206
"1980-04-01",-1.2343508609427,-0.2719227601143
"1980-07-01",-0.699465487867499,-0.650619214373599
"1980-10-01",-0.678892973518401,0.680074687962197
"1981-01-01",0.164580114792301,-0.605602495351199
"1981-04-01",-0.329160229584701,-0.177513318432297
"1981-07-01",0.267442686537599,-0.194391840276104
"1981-10-01",-0.0411450286981037,0.300228847725201
"1982-01-01",-0.349732743933799,0.578473853805903
"1982-04-01",-0.370305258282698,-0.617137217498303
"1982-07-01",-2.1601140066497,-0.475692717360396
"1982-10-01",-0.761183030914601,-0.657982962671802
"1983-01-01",0.802328059612705,0.0887542850932022
"1983-04-01",1.4400760044331,1.1672599672513
"1983-07-01",-0.637747944820397,0.650914400090798
"1983-10-01",1.872098805763,-0.401561012913696
"1984-01-01",0.349732743933799,0.797052530277696
"1984-04-01",-2.42755669318721,0.303764430141101
"1984-07-01",2.9830145806114,1.0873391390336
"1984-10-01",0.822900573961704,0.160406708744297
"1985-01-01",0.637747944820397,0.767120505626004
"1985-04-01",0.452595315678998,0.107229335354198
"1985-07-01",0.534885373075099,0.775062755200402
"1985-10-01",0.678892973518501,-0.419387598542905
"1986-01-01",0.226297657839503,0.550203601347505
"1986-04-01",0.164580114792301,0.0444326739714995
"1986-07-01",0.0617175430470951,-0.385498110460702
"1986-10-01",-0.246870172188494,-0.2257533302638
"1987-01-01",-0.596602916122301,0.0479994887810022
"1987-04-01",1.2549233752917,0.870832551019397
"1987-07-01",-0.576030401773195,-0.265716820800101
"1987-10-01",1.1726333178955,0.714602207099801
"1988-01-01",0.0822900573962073,0.0847167339076975
"1988-04-01",0.781755545263692,0.912081828125004
"1988-07-01",0.740610516565596,0.887850052195901
"1988-10-01",1.29606840398971,0.0202642527501951
"1989-01-01",0.102862571745291,0.535709729531504
"1989-04-01",0.946335660056008,1.1463505082789
"1989-07-01",1.0286257174522,0.489071585188995
"1989-10-01",0.966908174404992,1.06291460412751
"1990-01-01",0.781755545263707,1.44881189614529
"1990-04-01",0.308587715235703,0.362727909994106
"1990-07-01",1.7898087483668,0.210600314260397
"1990-10-01",0.822900573961803,0.609718940111001
"1991-01-01",1.70998702462779,0.164465779623697
"1991-04-01",-0.966586117823397,0.374319337510002
"1991-07-01",-1.3332222314808,-0.239974077427803
"1991-10-01",1.13323889675861,-0.312200766187701
"1992-01-01",1.36655278726779,-0.0933023120948988
"1992-04-01",-1.866511124073,1.1663289182709
"1992-07-01",-2.3331389050913,-1.97098868275589
"1992-10-01",-1.5665361219898,-0.622971586377702
"1993-01-01",-2.5997833513874,0.396745955039002
"1993-04-01",-0.933255562036493,-0.537913854540705
"1993-07-01",-0.0666611115740068,0.458223858497604
"1993-10-01",0.599950004166303,0.411120385141096
"1994-01-01",0.599950004166303,0.341687574965903
"1994-04-01",0.899925006249504,0.7374440801362
"1994-07-01",0.266644446296098,0.294467828795497
"1994-10-01",2.23314723773019,1.9233267208624
"1995-01-01",-0.866594450462401,0.580711642493803
"1995-04-01",0.199983334722106,1.2067898135617
"1995-07-01",-0.666611115740395,-1.0764191346822
"1995-10-01",-0.866594450462401,-0.2992241365449
"1996-01-01",0.0666611115739926,-0.0955312274892037
"1996-04-01",0.399966669444197,0.506707731022402
"1996-07-01",0.466627781018303,1.0415659028414
"1996-10-01",0.366636113657208,0.5630085992834
"1997-01-01",0.366636113657194,1.8297779351721
"1997-04-01",0.899925006249404,-0.140752150654102
"1997-07-01",0.966586117823596,1.4356719206733
"1997-10-01",1.0999083409715,1.1823180534955
"1998-01-01",1.5998666777769,2.9276447029414
"1998-04-01",-0.0333305557870034,0.647459885009603
"1998-07-01",0.0333305557870034,0.872663324722893
"1998-10-01",-0.966586117823596,0.0563008582618068
"1999-01-01",0.299975002083201,-0.394106017831803
"1999-04-01",0.699941671527398,2.364636100325
"1999-07-01",1.1332388967586,0.647459891675695
"1999-10-01",0.799933338888394,2.9557951337388
"2000-01-01",0.733272227314401,-1.18231805682859
"2000-04-01",2.36646946087831,2.19573352553959
"2000-07-01",1.2998916756937,1.18231805016249
"2000-10-01",0.666611115740295,2.08313180568281
"2001-01-01",0.499958336805307,-0.337805152903911
"2001-04-01",-1.2998916756937,-1.29491977001909
"2001-07-01",-0.833263894675397,0.844512890592398
"2001-10-01",-1.8998416798601,-0.365955587034406
"2002-01-01",0.599950004166402,-0.450406879426694
"2002-04-01",0.499958336805193,2.30833524539619
"2002-07-01",0.599950004166402,-1.43567191734029
"2002-10-01",-0.233313890509194,0.197053008915987
"2003-01-01",0.0666611115739926,3.5751045846179
"2003-04-01",-0.933255562036393,-1.0415659028414
"2003-07-01",0,0.450406879426708
"2003-10-01",2.2664777935172,0.337805156236996
"2004-01-01",-0.0666611115741063,1.49197277893509
"2004-04-01",1.39988334305481,2.0549813748854
"2004-07-01",0.299975002083087,2.026830947421
"2004-10-01",-0.46662778101819,0.647459888342695
